"n.missing"	"n.rows"
"dbo_R_RIALtO_Biochemistry1.BIOUrea"	627	7072
"dbo_R_RIALtO_Biochemistry1.UreaCS"	1958	7072
"dbo_R_RIALtO_Biochemistry1.UreaDate"	6998	7072
"dbo_R_RIALtO_Biochemistry1.BIOUric"	1813	7072
"dbo_R_RIALtO_Biochemistry1.UricAcidCS"	2984	7072
"dbo_R_RIALtO_Biochemistry1.UricAcidDate"	6783	7072
"dbo_R_RIALtO_Biochemistry1.BIOCreat"	507	7072
"dbo_R_RIALtO_Biochemistry1.CreatCS"	1886	7072
"dbo_R_RIALtO_Biochemistry1.CreatDate"	7035	7072
"dbo_R_RIALtO_Biochemistry1.BIOGFREDTA"	6586	7072
"dbo_R_RIALtO_Biochemistry1.GFRCS"	6670	7072
"dbo_R_RIALtO_Biochemistry1.GFRDate"	7062	7072
"dbo_R_RIALtO_Biochemistry1.Comments"	5176	7072
"dbo_R_RIALtO_Biochemistry1.CompBy"	421	7072
"dbo_R_RIALtO_Biochemistry1.CompSigned"	421	7072
"dbo_R_RIALtO_Biochemistry1.CompDate"	430	7072
"dbo_R_RIALtO_Biochemistry2.ClinicalTrialId"	0	7057
"dbo_R_RIALtO_Biochemistry2.Site"	0	7057
"dbo_R_RIALtO_Biochemistry2.PersonId"	0	7057
"dbo_R_RIALtO_Biochemistry2.VisitId"	0	7057
"dbo_R_RIALtO_Biochemistry2.VisitCycleNumber"	0	7057
"dbo_R_RIALtO_Biochemistry2.CRFPageId"	0	7057
"dbo_R_RIALtO_Biochemistry2.CRFPageCycleNumber"	0	7057
"dbo_R_RIALtO_Biochemistry2.BIOHaptoG"	6987	7057
"dbo_R_RIALtO_Biochemistry2.HaptoGCS"	6987	7057
"dbo_R_RIALtO_Biochemistry2.HaptoGDate"	7047	7057
"dbo_R_RIALtO_Biochemistry2.ScreenNo"	6569	7057
"dbo_R_RIALtO_Biochemistry2.HospitalSite"	562	7057
"dbo_R_RIALtO_Biochemistry2.PatientNo"	562	7057
"dbo_R_RIALtO_Biochemistry2.PatInitials"	74	7057
"dbo_R_RIALtO_Biochemistry2.VisitMonth"	6841	7057
"dbo_R_RIALtO_Biochemistry2.FUweek"	6438	7057
"dbo_R_RIALtO_Biochemistry2.BIOGlucose"	2006	7057
"dbo_R_RIALtO_Biochemistry2.GlucoseCS"	3145	7057
"dbo_R_RIALtO_Biochemistry2.GlucoseDate"	6651	7057
"dbo_R_RIALtO_Biochemistry2.BIOAlbum"	511	7057
"dbo_R_RIALtO_Biochemistry2.AlbuminCS"	1903	7057
"dbo_R_RIALtO_Biochemistry2.AlbuminDate"	6995	7057
"dbo_R_RIALtO_Biochemistry2.BIOBilirubin"	541	7057
"dbo_R_RIALtO_Biochemistry2.BilirubinCS"	1935	7057
"dbo_R_RIALtO_Biochemistry2.BilirubinDate"	6982	7057
"dbo_R_RIALtO_Biochemistry2.BIOAlkPhos"	537	7057
"dbo_R_RIALtO_Biochemistry2.AlkPhosCS"	1927	7057
"dbo_R_RIALtO_Biochemistry2.AlkPhosDate"	6998	7057
"dbo_R_RIALtO_Biochemistry2.BIOAST"	4612	7057
"dbo_R_RIALtO_Biochemistry2.ASTCS"	5060	7057
"dbo_R_RIALtO_Biochemistry2.ASTDate"	6996	7057
"dbo_R_RIALtO_Biochemistry2.BIOALT"	1251	7057
"dbo_R_RIALtO_Biochemistry2.ALTCS"	2526	7057
"dbo_R_RIALtO_Biochemistry2.ALTDate"	6982	7057
"dbo_R_RIALtO_Biochemistry2.BIOGGT"	6034	7057
"dbo_R_RIALtO_Biochemistry2.GGTCS"	6031	7057
"dbo_R_RIALtO_Biochemistry2.GGTDate"	6991	7057
"dbo_R_RIALtO_Biochemistry2.BIOLDH"	1350	7057
"dbo_R_RIALtO_Biochemistry2.LDHCS"	2606	7057
"dbo_R_RIALtO_Biochemistry2.LDHDate"	6792	7057
"dbo_R_RIALtO_Biochemistry2.BIOProtein"	1048	7057
"dbo_R_RIALtO_Biochemistry2.ProteinCS"	2362	7057
"dbo_R_RIALtO_Biochemistry2.ProteinDate"	6919	7057
"dbo_R_RIALtO_Biochemistry2.Bilirubin2xUL"	6584	7057
"dbo_R_RIALtO_Biochemistry2.Bil2xDueCLL"	7055	7057
"dbo_R_RIALtO_Biochemistry2.ALT_AST_ULN"	6856	7057
"dbo_R_RIALtO_Biochemistry2.ASTALTDueCLL"	7057	7057
"dbo_R_RIALtO_Biochemistry2.Comments"	4783	7057
"dbo_R_RIALtO_Biochemistry2.CompBy"	426	7057
"dbo_R_RIALtO_Biochemistry2.CompSigned"	426	7057
"dbo_R_RIALtO_Biochemistry2.CompDate"	439	7057
"dbo_R_RIALtO_ComorbidAssess.ClinicalTrialId"	0	488
"dbo_R_RIALtO_ComorbidAssess.Site"	0	488
"dbo_R_RIALtO_ComorbidAssess.PersonId"	0	488
"dbo_R_RIALtO_ComorbidAssess.VisitId"	0	488
"dbo_R_RIALtO_ComorbidAssess.VisitCycleNumber"	0	488
"dbo_R_RIALtO_ComorbidAssess.CRFPageId"	0	488
"dbo_R_RIALtO_ComorbidAssess.CRFPageCycleNumber"	0	488
"dbo_R_RIALtO_ComorbidAssess.ScreenNo"	0	488
"dbo_R_RIALtO_ComorbidAssess.PatInitials"	0	488
"dbo_R_RIALtO_ComorbidAssess.CMICardiac"	0	488
"dbo_R_RIALtO_ComorbidAssess.CMIVascular"	0	488
"dbo_R_RIALtO_ComorbidAssess.CMIHematop"	0	488
"dbo_R_RIALtO_ComorbidAssess.CMIRespiratory"	0	488
"dbo_R_RIALtO_ComorbidAssess.CMIENT"	0	488
"dbo_R_RIALtO_ComorbidAssess.CMIUpperGI"	0	488
"dbo_R_RIALtO_ComorbidAssess.CMILowerGI"	0	488
"dbo_R_RIALtO_ComorbidAssess.CMILiver"	0	488
"dbo_R_RIALtO_ComorbidAssess.CMIRenal"	0	488
"dbo_R_RIALtO_ComorbidAssess.CMIGenitour"	0	488
"dbo_R_RIALtO_ComorbidAssess.CMIMuscoSkel"	0	488
"dbo_R_RIALtO_ComorbidAssess.CMINeuro"	0	488
"dbo_R_RIALtO_ComorbidAssess.CMIEndocrine"	1	488
"dbo_R_RIALtO_ComorbidAssess.CMIPsychiatric"	0	488
"dbo_R_RIALtO_ComorbidAssess.CMITotalEndorse"	0	488
"dbo_R_RIALtO_ComorbidAssess.CMITotalScore"	0	488
"dbo_R_RIALtO_ComorbidAssess.CMISevIndex"	0	488
"dbo_R_RIALtO_ComorbidAssess.CMINumCat3"	0	488
"dbo_R_RIALtO_ComorbidAssess.CMINumCat4"	0	488
"dbo_R_RIALtO_ComorbidAssess.CompBy"	0	488
"dbo_R_RIALtO_ComorbidAssess.CompSigned"	0	488
"dbo_R_RIALtO_ComorbidAssess.CompDate"	0	488
"dbo_R_RIALtO_ConMeds_SupMed_grp.ClinicalTrialId"	0	4845
"dbo_R_RIALtO_ConMeds_SupMed_grp.Site"	0	4845
"dbo_R_RIALtO_ConMeds_SupMed_grp.PersonId"	0	4845
"dbo_R_RIALtO_ConMeds_SupMed_grp.VisitId"	0	4845
"dbo_R_RIALtO_ConMeds_SupMed_grp.VisitCycleNumber"	0	4845
"dbo_R_RIALtO_ConMeds_SupMed_grp.CRFPageId"	0	4845
"dbo_R_RIALtO_ConMeds_SupMed_grp.CRFPageCycleNumber"	0	4845
"dbo_R_RIALtO_ConMeds_SupMed_grp.OwnerQGroupID"	0	4845
"dbo_R_RIALtO_ConMeds_SupMed_grp.RepeatNumber"	0	4845
"dbo_R_RIALtO_ConMeds_SupMed_grp.MedPCB"	136	4845
"dbo_R_RIALtO_ConMeds_SupMed_grp.cm_start"	922	4845
"dbo_R_RIALtO_ConMeds_SupMed_grp.cm_stop"	2917	4845
"dbo_R_RIALtO_ConMeds_SupMed_grp.trade_name"	162	4845
"dbo_R_RIALtO_ConMeds_SupMed_grp.ongoing"	1101	4845
"dbo_R_RIALtO_ConMeds_SupMed_grp.dose"	558	4845
"dbo_R_RIALtO_ConMeds_SupMed_grp.med_unit"	678	4845
"dbo_R_RIALtO_ConMeds_SupMed_grp.frequency"	341	4845
"dbo_R_RIALtO_ConMeds_SupMed_grp.med_route"	262	4845
"dbo_R_RIALtO_ConMeds_SupMed_grp.med_route_Other"	4795	4845
"dbo_R_RIALtO_ConMeds_SupMed_grp.med_use"	321	4845
"dbo_R_RIALtO_ConMeds_SupMed_grp.med_indication"	449	4845
"dbo_R_RIALtO_ConMeds.ClinicalTrialId"	0	845
"dbo_R_RIALtO_ConMeds.Site"	0	845
"dbo_R_RIALtO_ConMeds.PersonId"	0	845
"dbo_R_RIALtO_ConMeds.VisitId"	0	845
"dbo_R_RIALtO_ConMeds.VisitCycleNumber"	0	845
"dbo_R_RIALtO_ConMeds.CRFPageId"	0	845
"dbo_R_RIALtO_ConMeds.CRFPageCycleNumber"	0	845
"dbo_R_RIALtO_ConMeds.PatInitials"	2	845
"dbo_R_RIALtO_ConMeds.CompBy"	104	845
"dbo_R_RIALtO_ConMeds.CompSigned"	99	845
"dbo_R_RIALtO_ConMeds.CompDate"	103	845
"dbo_R_RIALtO_ConMeds.PatientNo"	2	845
"dbo_R_RIALtO_ConMeds.HospitalSite"	2	845
"dbo_R_RIALtO_ConMeds.MedCLL"	40	845
"dbo_R_RIALtO_CPR.ClinicalTrialId"	0	2240
"dbo_R_RIALtO_CPR.Site"	0	2240
"dbo_R_RIALtO_CPR.PersonId"	0	2240
"dbo_R_RIALtO_CPR.VisitId"	0	2240
"dbo_R_RIALtO_CPR.VisitCycleNumber"	0	2240
"dbo_R_RIALtO_CPR.CRFPageId"	0	2240
"dbo_R_RIALtO_CPR.CRFPageCycleNumber"	0	2240
"dbo_R_RIALtO_CPR.HospitalSite"	6	2240
"dbo_R_RIALtO_CPR.PatientNo"	6	2240
"dbo_R_RIALtO_CPR.PatInitials"	6	2240
"dbo_R_RIALtO_CPR.VisitMonth"	600	2240
"dbo_R_RIALtO_CPR.FUweek"	1726	2240
"dbo_R_RIALtO_CPR.BloodSamp4ml"	667	2240
"dbo_R_RIALtO_CPR.BloodSam4mlDate"	678	2240
"dbo_R_RIALtO_CPR.BloodSam4mlSent"	698	2240
"dbo_R_RIALtO_CPR.sample_20ml"	1371	2240
"dbo_R_RIALtO_CPR.sample_20_date"	1377	2240
"dbo_R_RIALtO_CPR.Samp_20_DtSnt"	1385	2240
"dbo_R_RIALtO_CPR.sample_10ml"	1361	2240
"dbo_R_RIALtO_CPR.sample_10_date"	1366	2240
"dbo_R_RIALtO_CPR.Samp_10_DtSnt"	1376	2240
"dbo_R_RIALtO_CPR.smpKitNo"	683	2240
"dbo_R_RIALtO_CPR.Comments2"	2194	2240
"dbo_R_RIALtO_CPR.Comments"	1649	2240
"dbo_R_RIALtO_CPR.CompBy"	275	2240
"dbo_R_RIALtO_CPR.CompSigned"	271	2240
"dbo_R_RIALtO_CPR.CompDate"	275	2240
"dbo_R_RIALtO_CTScan1_CT_Node.ClinicalTrialId"	0	10485
"dbo_R_RIALtO_CTScan1_CT_Node.Site"	0	10485
"dbo_R_RIALtO_CTScan1_CT_Node.PersonId"	0	10485
"dbo_R_RIALtO_CTScan1_CT_Node.VisitId"	0	10485
"dbo_R_RIALtO_CTScan1_CT_Node.VisitCycleNumber"	0	10485
"dbo_R_RIALtO_CTScan1_CT_Node.CRFPageId"	0	10485
"dbo_R_RIALtO_CTScan1_CT_Node.CRFPageCycleNumber"	0	10485
"dbo_R_RIALtO_CTScan1_CT_Node.OwnerQGroupID"	0	10485
"dbo_R_RIALtO_CTScan1_CT_Node.RepeatNumber"	0	10485
"dbo_R_RIALtO_CTScan1_CT_Node.CT_Node_Site"	6712	10485
"dbo_R_RIALtO_CTScan1_CT_Node.CT_Node_Spec"	9973	10485
"dbo_R_RIALtO_CTScan1_CT_Node.CT_Node_Inv"	6753	10485
"dbo_R_RIALtO_CTScan1_CT_Node.CT_Node_meas"	6769	10485
"dbo_R_RIALtO_CTScan1_CT_Node.CT_Node_Size1"	7249	10485
"dbo_R_RIALtO_CTScan1_CT_Node.CT_Node_Size2"	7480	10485
"dbo_R_RIALtO_CTScan1.ClinicalTrialId"	0	953
"dbo_R_RIALtO_CTScan1.Site"	0	953
"dbo_R_RIALtO_CTScan1.PersonId"	0	953
"dbo_R_RIALtO_CTScan1.VisitId"	0	953
"dbo_R_RIALtO_CTScan1.VisitCycleNumber"	0	953
"dbo_R_RIALtO_CTScan1.CRFPageId"	0	953
"dbo_R_RIALtO_CTScan1.CRFPageCycleNumber"	0	953
"dbo_R_RIALtO_CTScan1.HospitalSite"	5	953
"dbo_R_RIALtO_CTScan1.PatientNo"	5	953
"dbo_R_RIALtO_CTScan1.PatInitials"	5	953
"dbo_R_RIALtO_CTScan1.MnthsSinceInd"	953	953
"dbo_R_RIALtO_CTScan1.DA_CT_Scan_Date"	80	953
"dbo_R_RIALtO_CTScan1.INVSign"	102	953
"dbo_R_RIALtO_CTScan1.INVSignDate"	112	953
"dbo_R_RIALtO_CTScan1.CompBy"	42	953
"dbo_R_RIALtO_CTScan1.CompSigned"	39	953
"dbo_R_RIALtO_CTScan1.CompDate"	45	953
"dbo_R_RIALtO_CTScan2_CT_OtherSite.ClinicalTrialId"	0	1007
"dbo_R_RIALtO_CTScan2_CT_OtherSite.Site"	0	1007
"dbo_R_RIALtO_CTScan2_CT_OtherSite.PersonId"	0	1007
"dbo_R_RIALtO_CTScan2_CT_OtherSite.VisitId"	0	1007
"dbo_R_RIALtO_CTScan2_CT_OtherSite.VisitCycleNumber"	0	1007
"dbo_R_RIALtO_CTScan2_CT_OtherSite.CRFPageId"	0	1007
"dbo_R_RIALtO_CTScan2_CT_OtherSite.CRFPageCycleNumber"	0	1007
"dbo_R_RIALtO_CTScan2_CT_OtherSite.OwnerQGroupID"	0	1007
"dbo_R_RIALtO_CTScan2_CT_OtherSite.RepeatNumber"	0	1007
"dbo_R_RIALtO_CTScan2_CT_OtherSite.CT_Oth_Spec"	860	1007
"dbo_R_RIALtO_CTScan2_CT_OtherSite.CT_Oth_Size1"	888	1007
"dbo_R_RIALtO_CTScan2_CT_OtherSite.CT_Oth_Size2"	902	1007
"dbo_R_RIALtO_CTScan2.ClinicalTrialId"	0	938
"dbo_R_RIALtO_CTScan2.Site"	0	938
"dbo_R_RIALtO_CTScan2.PersonId"	0	938
"dbo_R_RIALtO_CTScan2.VisitId"	0	938
"dbo_R_RIALtO_CTScan2.VisitCycleNumber"	0	938
"dbo_R_RIALtO_CTScan2.CRFPageId"	0	938
"dbo_R_RIALtO_CTScan2.CRFPageCycleNumber"	0	938
"dbo_R_RIALtO_CTScan2.HospitalSite"	5	938
"dbo_R_RIALtO_CTScan2.PatientNo"	5	938
"dbo_R_RIALtO_CTScan2.PatInitials"	5	938
"dbo_R_RIALtO_CTScan2.MnthsSinceInd"	938	938
"dbo_R_RIALtO_CTScan2.CT_spleen_Enlrg"	79	938
"dbo_R_RIALtO_CTScan2.CT_Spleen_size1"	465	938
"dbo_R_RIALtO_CTScan2.CT_Spleen_size2"	666	938
"dbo_R_RIALtO_CTScan2.CT_Liver_Enlrg"	111	938
"dbo_R_RIALtO_CTScan2.CT_Liver_size1"	907	938
"dbo_R_RIALtO_CTScan2.CT_Liver_size2"	914	938
"dbo_R_RIALtO_CTScan2.INVSign"	81	938
"dbo_R_RIALtO_CTScan2.INVSignDate"	91	938
"dbo_R_RIALtO_CTScan2.CompBy"	32	938
"dbo_R_RIALtO_CTScan2.CompSigned"	28	938
"dbo_R_RIALtO_CTScan2.CompDate"	32	938
"dbo_R_RIALtO_DeathForm.ClinicalTrialId"	0	93
"dbo_R_RIALtO_DeathForm.Site"	0	93
"dbo_R_RIALtO_DeathForm.PersonId"	0	93
"dbo_R_RIALtO_DeathForm.VisitId"	0	93
"dbo_R_RIALtO_DeathForm.VisitCycleNumber"	0	93
"dbo_R_RIALtO_DeathForm.CRFPageId"	0	93
"dbo_R_RIALtO_DeathForm.CRFPageCycleNumber"	0	93
"dbo_R_RIALtO_DeathForm.HospitalSite"	0	93
"dbo_R_RIALtO_DeathForm.PatientNo"	0	93
"dbo_R_RIALtO_DeathForm.PatInitials"	0	93
"dbo_R_RIALtO_DeathForm.DTHDate"	1	93
"dbo_R_RIALtO_DeathForm.DTHInfSrc_A"	89	93
"dbo_R_RIALtO_DeathForm.DTHInfSrc_M"	34	93
"dbo_R_RIALtO_DeathForm.DTHInfSrc_O"	61	93
"dbo_R_RIALtO_DeathForm.DTHInfSrc_Other"	62	93
"dbo_R_RIALtO_DeathForm.DTHCause"	3	93
"dbo_R_RIALtO_DeathForm.DthTrtOthNoProg"	69	93
"dbo_R_RIALtO_DeathForm.DthTrtEvtAE"	91	93
"dbo_R_RIALtO_DeathForm.DthTrtEvtAENo"	91	93
"dbo_R_RIALtO_DeathForm.DthNonTrtEvtAE"	91	93
"dbo_R_RIALtO_DeathForm.DthNTrtEvtAENo"	92	93
"dbo_R_RIALtO_DeathForm.DthRsnNTrialAE"	86	93
"dbo_R_RIALtO_DeathForm.DthRsnNTrlAENo"	90	93
"dbo_R_RIALtO_DeathForm.DTHCauseOthr"	93	93
"dbo_R_RIALtO_DeathForm.DTHCoroner"	84	93
"dbo_R_RIALtO_DeathForm.CompBy"	1	93
"dbo_R_RIALtO_DeathForm.CompSigned"	1	93
"dbo_R_RIALtO_DeathForm.CompDate"	1	93
"dbo_R_RIALtO_Demographics_DEMCLLSite.ClinicalTrialId"	0	502
"dbo_R_RIALtO_Demographics_DEMCLLSite.Site"	0	502
"dbo_R_RIALtO_Demographics_DEMCLLSite.PersonId"	0	502
"dbo_R_RIALtO_Demographics_DEMCLLSite.VisitId"	0	502
"dbo_R_RIALtO_Demographics_DEMCLLSite.VisitCycleNumber"	0	502
